Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
eMEGO 093,Angel (3),Hedonism,Editions Mego,"CD, Album",,2008,1556819,Uncategorized,25/11/2019 00:12,,,
EMEGO 239,UUUU (2),UUUU,Editions Mego,2xLP,,2017,10968446,Uncategorized,22/11/2019 17:38,,,
EMEGO 245,CoH,CoHgs,Editions Mego,"LP, Comp, RM",,2017,11102449,Uncategorized,22/11/2019 23:33,,,
EMEGO 259,Caterina Barbieri (2),Ecstatic Computation,Editions Mego,"LP, Album",,2019,13532945,Uncategorized,22/11/2019 23:38,,,
EMEGO 264,Oren Ambarchi,Simian Angel,Editions Mego,"LP, Album",,2019,13762726,Uncategorized,03/11/2019 11:00,,,
EMEGO 279,Caterina Barbieri (2),Fantas Variations,Editions Mego,"2xLP, Album",,2021,18796819,Uncategorized,02/07/2021 06:01,,,
eMego 3154,Fenn O'Berg,Magic & Return,Editions Mego,"2xCD, Comp, RM",,2009,1852961,Uncategorized,07/12/2019 22:15,,,
7559-61913-2,Nada Surf,High/Low,Elektra,"CD, Album",,1996,1148164,Uncategorized,07/12/2019 22:47,,,
7243 8 34019 2 5,Deep Purple,In Rock,EMI,"CD, Album, RE, RM, Ann",,1995,16045290,Uncategorized,12/09/2023 01:19,,,
CDP 7 46242 2,Deep Purple,Machine Head,EMI (2),"CD, Album, Unofficial",,0,13889433,Uncategorized,12/09/2023 01:21,,,
"CDS 7 46036 8, 7243 8 31243 2 9",Pink Floyd,The Wall,"EMI United Kingdom, EMI United Kingdom","2xCD, Album, RE",,1994,15297886,Uncategorized,02/08/2020 18:34,,,
"00946 338462 2 7, CD - 338462 2",Sigur Rós,Takk...,"EMI, EMI","CD, Album, Ltd, Dig",,2005,522721,Uncategorized,07/12/2019 23:21,,,
"50999 5 10419 9 1, 510 4199",Sigur Rós,Heima,"EMI, EMI","2xDVD-V, Multichannel, PAL + Box, Ltd, S/Edition",,2007,1239540,Uncategorized,25/12/2019 13:08,,,
"5099950256624, 5025662",Sigur Rós,Hvarf - Heim,"EMI, EMI","2xCD, Album, Dig",,2007,13127065,Uncategorized,07/12/2019 23:08,,,
"591 711 2, 5917112",John Cale,Hobo Sapiens,"EMI, EMI","CD, Album",,2003,625428,Uncategorized,07/12/2019 22:42,,,
"CDEM 673, 0946 3 41757 2 2",Sigur Rós,Hoppípolla,"EMI, EMI","CD, Single",,2005,575702,Uncategorized,07/12/2019 22:52,,,
"CDEM 687, 0946 3 63100 2 2",Sigur Rós,Sæglópur,"EMI, EMI","CD, EP + DVD-V, PAL, Reg",,2006,726773,Uncategorized,07/12/2019 23:02,,,
"EMC 3006, OC 062 o 94 519",Queen,Queen,"EMI, EMI","LP, Album",,1973,847206,Uncategorized,22/11/2019 18:04,,,
"50999 5 10418 9 2, 5099951041892, 510 4189",Sigur Rós,Heima,"EMI, EMI, EMI","2xDVD, PAL, DTS",,2007,1138887,Uncategorized,07/12/2019 23:01,,,
EE001,Eli Keszler,Last Signs Of Speed,Empty Editions,"2x12"", Album",,2016,9370389,Uncategorized,22/11/2019 23:30,,,
E2K 67486,Various,Home Alive -  The Art Of Self Defense,Epic,"2xCD, Comp",,1996,593350,Uncategorized,02/08/2020 17:35,,,
"483980 2, EPC 483980 2",Screaming Trees,Dust,"Epic, Epic","CD, Album",,1996,2309394,Uncategorized,07/12/2019 23:18,,,
eratp 146lp,Hans-Joachim Roedelius & Tim Story,4 Hands,Erased Tapes Records,"LP, Album, Ltd, Cle",,2022,22425952,Uncategorized,21/09/2022 07:53,,,
ERATP056LP,A Winged Victory For The Sullen,Atomos VII,Erased Tapes Records,"12""",,2014,5643951,Uncategorized,22/11/2019 13:58,,,
ERATP123LP,The Art Ensemble Of Chicago,We Are On The Edge (A 50th Anniversary Celebration),Erased Tapes Records,"2xLP, Album, Gat",,2019,13957591,Uncategorized,03/11/2019 11:02,,,
"eratp065lp, ERATP065LP",Nils Frahm,Solo,"Erased Tapes Records, Erased Tapes Records","LP, Album",,2015,6870085,Uncategorized,23/11/2019 21:20,,,
4061,Eli Keszler,Oxtirn,ESP Disk,"LP, Ltd",,2010,2555570,Uncategorized,23/11/2019 21:26,,,
"EVER11CD, Ever11CD",Amiina,Kurr,"Ever Records, Ever Records","CD, Album",,2007,1015158,Uncategorized,07/12/2019 23:20,,,
F-8431,Vince Guaraldi Trio,A Charlie Brown Christmas ,Fantasy,"LP, Album, Ltd, Pic, RE, Gol",,2022,24497939,Uncategorized,28/12/2022 03:01,,,
FATCD06,Immense,Evil Ones And Zeroes,FatCat Records,"CD, Album",,1999,166994,Uncategorized,25/12/2019 12:31,,,
fatcd11,Sigur Rós,Ágætis Byrjun,FatCat Records,"CD, Album, RE, Dig",,0,3035062,Uncategorized,01/12/2019 00:23,,,
FATCD28,HiM,Many In High Places Are Not Well,FatCat Records,"CD, Album",,2003,4442302,Uncategorized,07/12/2019 23:00,,,
FATOST-CD01,Hilmar Örn Hilmarsson & Sigur Rós,Angels Of The Universe,FatCat Records,"CD, Album, Car",,2001,115878,Uncategorized,07/12/2019 22:03,,,
"dvd10fat02, 946.0102.178",Sigur Rós,Untitled #1 (Vaka),"FatCat Records, [PIAS] Recordings","CD, Single, Bla + DVD-V + Dig",,2003,201724,Uncategorized,07/12/2019 22:54,,,
"fatcd22, piasv122cd, 946.0122.020",Sigur Rós,( ),"FatCat Records, [PIAS] Recordings, [PIAS] Recordings","CD, Album",,2002,6345225,Uncategorized,07/12/2019 22:52,,,
"CDFAT039, cdfat039",Sigur Rós,Ný Batterí,"FatCat Records, FatCat Records","CD, Single, Car",,2000,80388,Uncategorized,07/12/2019 23:08,,,
BLAZECD139,Bark Psychosis,400 Winters EP,Fire Records,"CD, EP, Ltd",,2005,516905,Uncategorized,07/12/2019 23:09,,,
FIRECD90,Bark Psychosis,Codename: Dustsucker,Fire Records,"CD, Album",,2004,330239,Uncategorized,07/12/2019 23:09,,,
FR-17,Es,A Love Cycle,Fonal Records,"CD, Album, RE",,2006,928001,Uncategorized,25/12/2019 12:52,,,
FR-36,Islaja,Palaa Aurinkoon,Fonal Records,"CD, Album",,2005,554782,Uncategorized,12/09/2023 01:30,,,
GR 2013,Various,Historische Aufnahmen - Historical Recordings 1,Gagarin Records,"LP, Comp",,2011,2802590,Uncategorized,22/11/2019 23:32,,,
GATE001,Kara-Lis Coverdale,A 480,Gate (6),"LP, Album, Ltd, RE, Whi",,2021,16893399,Uncategorized,12/02/2022 12:25,,,
"GATE002, GATE 002",Kara-Lis Coverdale,Aftertouches,"Gate (6), Gate (6)","LP, Album, Ltd, RE, Cle",,2020,16340463,Uncategorized,03/01/2021 13:19,,,
B0002158-22,Sigur Rós,Ba Ba Ti Ki Di Do,Geffen Records,"CD, EP",,2004,722178,Uncategorized,07/12/2019 23:08,,,
GEF 24536,Nirvana,In Utero,Geffen Records,"LP, Album",,1993,1645681,Uncategorized,01/08/2020 12:11,Good Plus (G+),Good Plus (G+),
"GEF 24425, GEF 24425-8, GEF 24 425, DGC 24425, DGC",Nirvana,Nevermind,"Geffen Records, Geffen Records, Geffen Records, DGC, DGC, Sub Pop","LP, Album",,1991,8015420,Uncategorized,01/08/2020 12:12,Good Plus (G+),Good Plus (G+),
GI-18,Twine,Twine,Ghostly International,"CD, Album, Enh",,2003,198712,Uncategorized,12/09/2023 00:59,,,
GI-390,Mary Lattimore,Collected Pieces: 2015–2020,Ghostly International,"2xLP, Comp, Ltd, Gol",,2022,21402460,Uncategorized,13/07/2022 07:25,,,
GRCD 499,Midnight Choir,Unsung Heroine,Glitterhouse Records,"CD, Album",,2000,1387622,Uncategorized,07/12/2019 22:32,,,
GRCD 573,Midnight Choir,Waiting For The Bricks To Fall,Glitterhouse Records,"CD, Album",,2003,1387629,Uncategorized,07/12/2019 22:32,,,
066574-2,Beth Gibbons & Rustin Man,Out Of Season,Go! Beat,"CD, Album",,2002,13697860,Uncategorized,07/12/2019 23:18,,,
547805-2.,Arab Strap,Elephant Shoe,Go! Beat,"CD, Album",,1999,8558767,Uncategorized,07/12/2019 22:36,,,
559 424-2,Portishead,Roseland NYC Live,Go! Beat,"CD, Album, RE, RP",,1999,6934008,Uncategorized,07/12/2019 23:19,,,
7243 8 59110 2 6,Various,Tibetan Freedom Concert,"Grand Royal, Capitol Records","2xCD + CD, Enh",,1997,2318311,Uncategorized,30/07/2020 22:32,,,
LPGRON78,Harmonia,Live 1974,Grönland Records,"LP, Album, FK ",,2007,1125574,Uncategorized,19/09/2022 04:26,,,
"LPGRONIII, 5065001040757",Neu!,Neu! '75,"Grönland Records, Grönland Records","LP, Album, RE",,0,10955585,Uncategorized,19/09/2022 04:25,,,
HG1803,Kali Malone,Cast Of Mind,Hallow Ground,"LP, Album, Ltd, RE, Whi",,2019,13682958,Uncategorized,24/07/2020 12:15,,,
H.26,3/4HadBeenEliminated,A Year Of The Aural Gauge Operation,Häpna,"CD, Album",,2005,727931,Uncategorized,28/11/2019 23:27,,,
H.29,Andrea Belfi,Between Neck & Stomach,Häpna,"CD, Album",,2006,806558,Uncategorized,28/11/2019 23:28,,,
H.55,Oren Ambarchi & Johan Berthling,Tongue Tied,Häpna,"LP, Album + CD, Album",,2015,7842078,Uncategorized,23/11/2019 15:40,,,
hatOLOGY 672,Polwechsel & John Tilbury,Field,hatOLOGY,"CD, Album",,2009,1894474,Uncategorized,20/12/2019 10:48,,,
HEFTY 059,radicalfashion,Odori,Hefty Records,"CD, Album",,2007,889544,Uncategorized,12/09/2023 00:55,,,
HAFTW008,The Caretaker,An Empty Bliss Beyond This World,History Always Favours The Winners,"CD, Album, RE, RP",,2019,14008727,Uncategorized,07/05/2021 06:16,,,
HAFTW013-LP,The Caretaker,Patience (After Sebald),History Always Favours The Winners,"LP, Album",,2012,3355859,Uncategorized,10/04/2021 06:01,,,
HAFTW026-LP,The Caretaker,Everywhere At The End Of Time - Stage 2,History Always Favours The Winners,"LP, Album",,2017,10094003,Uncategorized,18/02/2021 07:54,,,
HAFTW027-LP,The Caretaker,Everywhere At The End Of Time - Stage 3,History Always Favours The Winners,"LP, Album",,2017,10924527,Uncategorized,18/02/2021 07:56,,,
HAFTW028-LP,The Caretaker,Everywhere At The End Of Time - Stage 4,History Always Favours The Winners,"2xLP, Album, Ltd",,2018,11823437,Uncategorized,29/05/2021 02:49,,,
HAFTW029,The Caretaker,Everywhere At The End Of Time - Stage 5,History Always Favours The Winners,"2xLP, Album, Ltd",,2018,12551815,Uncategorized,29/05/2021 02:50,,,
LIFT 071,Sigmatropic,Sixteen Haiku & Other Stories,Hitch-Hyke Records,"CD, Album, Enh + CD, Ltd",,2003,653616,Uncategorized,12/09/2023 01:05,,,
51962,Cloudland Canyon / Lichens,Exterminating Angel,Holy Mountain,"CD, Album",,2007,1191742,Uncategorized,12/09/2023 01:28,,,
21852,Six Organs Of Admittance,For Octavio Paz,Holy Mountain,"CD, Album",,2004,467418,Uncategorized,12/09/2023 00:52,,,
HJRLP106,Moondog (2),More Moondog,Honest Jon's Records,"LP, Album, RE, RM",,2009,1741524,Uncategorized,12/11/2019 21:12,,,
HOS-485,Dedekind Cut,American Zen,Hospital Productions,"2x12"", EP, Ltd, Cle",,2017,10226661,Uncategorized,02/11/2019 11:23,,,
HDB100,Burial,Young Death / Nightmarket,Hyperdub,"12""",,2016,9412422,Uncategorized,12/11/2019 21:12,,,
ida027,Matt Elliott,Drinking Songs,Ici D'Ailleurs,"CD, Album",,2005,5635019,Uncategorized,07/12/2019 22:45,,,
IDA060,This Immortal Coil,The Dark Age Of Love,Ici d'ailleurs,"CD, Album",,2009,5440169,Uncategorized,12/09/2023 00:57,,,
"IDA030, reverb 78, none",Yann Tiersen & Shannon Wright,Yann Tiersen & Shannon Wright,"Ici D'Ailleurs, Vicious Circle (2), Discograph","CD, Dig",,2004,5261424,Uncategorized,07/12/2019 22:39,,,
iDEAL048,Aleph-1,Aleph-1,iDEAL Recordings,"CD, Album",,2007,1201371,Uncategorized,01/12/2019 00:28,,,
iDEAL192,Kali Malone,The Sacrificial Code,iDEAL Recordings,"2xLP, Album",,2019,13826331,Uncategorized,14/02/2020 11:32,,,
SOMA025,The Necks,Unfold,Ideologic Organ,"2xLP, Album",,2017,9759017,Uncategorized,23/11/2019 18:32,,,
SOMA050,Kali Malone Featuring Stephen O'Malley & Lucy Railton,Does Spring Hide Its Joy,Ideologic Organ,"3xLP, Album",,2023,25784089,Uncategorized,30/03/2023 11:16,,,
SOMA052,"Chris Abrahams, Oren Ambarchi, Robbie Avenaim",Placelessness,Ideologic Organ,LP,,2023,28227799,Uncategorized,02/11/2023 09:47,,,
ITE 001,Slow Six,Private Times In Public Places,If.Then.Else Records,"CD, Album",,2004,820204,Uncategorized,01/12/2019 00:29,,,
ICM 06,Robert Henke,Layering Buddha,Imbalance Computer Music,"CD, Album",,2006,812408,Uncategorized,01/12/2019 00:11,,,
Immune 010,Rafael Anton Irisarri,Reverie,Immune,"LP, MiniAlbum, Ltd, Cle",,2010,2218962,Uncategorized,22/11/2019 23:31,,,
imprec045,Piano Magic,Open Cast Heart EP,Important Records (2),"CD, EP",,2005,619004,Uncategorized,07/12/2019 22:40,,,
IMPREC129,Larsen And Various,ABECEDA,Important Records (2),"CD, Album + DVD-V, NTSC",,2007,1081220,Uncategorized,28/11/2019 23:29,,,
imprec228,Anahita,Matricaria,Important Records (2),"CD, Album",,2009,1772997,Uncategorized,12/09/2023 01:02,,,
"IMPREC227, DCA26361",Strings Of Consciousness & Angel (3),Strings Of Consciousness & Angel,"Important Records (2), DCA (3)","CD, Album",,2009,1624124,Uncategorized,25/11/2019 00:12,,,
6.02436E+11,Sons Of Kemet,Black To The Future,Impulse!,"2xLP, Album",,2021,18665626,Uncategorized,29/05/2021 02:50,,,
6.02456E+11,Irreversible Entanglements,Protect Your Light,Impulse!,LP,,2023,28184356,Uncategorized,20/10/2023 03:18,,,
B0027970-01,Sons Of Kemet,Your Queen Is A Reptile,"Impulse!, Verve Records","2xLP, Album",,2018,11770803,Uncategorized,02/11/2019 11:20,,,
IP025,Saåad,Verdaillon,In Paradisum,"LP, Album",,2016,8988571,Uncategorized,22/11/2019 16:43,,,
INFECT65CD,The Paradise Motel,Flight Paths,Infectious Records,"CD, Album",,1998,2240631,Uncategorized,07/12/2019 23:03,,,
IF-102LP,Coil,Sara Dale's Sensual Massage,Infinite Fog Productions,"2xLP, Album, Ltd",,2020,15926060,Uncategorized,25/08/2021 19:04,,,
IF-108LP,Coil,The New Backwards,Infinite Fog Productions,"3xLP, Album, Ltd, RE, Whi",,2022,22649384,Uncategorized,21/09/2022 07:55,,,
IF-111LP,Coil,The Ape Of Naples,Infinite Fog Productions,"3xLP, Album, Ltd, RE, Whi",,2022,25196758,Uncategorized,01/02/2023 11:55,,,
IF104LP,Coil,Love's Secret Domain,Infinite Fog Productions,"3xLP, Album, Dlx, RE, RM, Gol",,2021,18588718,Uncategorized,02/07/2021 06:00,,,
CLASSIC047LP,Innercity Ensemble,III ,Instant Classic,"LP, Album",,2016,10941045,Uncategorized,22/11/2019 23:28,,,
Intakt CD 120,Sylvie Courvoisier,Lonelyville,Intakt Records,"CD, Album",,2007,1757701,Uncategorized,25/11/2019 00:17,,,
IMRC0061,Angel Bat Dawid,Requiem For Jazz,Intergalactic Mantra Recording Co.,"2xLP, Album, Ltd, M/Print, Pur",,2023,26522912,Uncategorized,25/03/2023 11:02,,,
"IMRC 0037, IMRC0037",Angel Bat Dawid & Tha Brothahood,Live,"Intergalactic Mantra Recording Co., Intergalactic Mantra Recording Co., Rundfunk Berlin-Brandenburg, !K7 Records","2xLP, Album, Ltd, Red",,2021,17868796,Uncategorized,19/04/2021 23:58,,,
IARC0025,Damon Locks Black Monument Ensemble,Where Future Unfolds,International Anthem Recording Company,"LP, Album",,2019,13814931,Uncategorized,06/02/2020 15:10,,,
IARC0028,Junius Paul,Ism,International Anthem Recording Company,"2xLP, Album",,2019,14432366,Uncategorized,14/02/2020 11:36,,,
IARC0039,Damon Locks Black Monument Ensemble,Now,International Anthem Recording Company,"LP, Album, Cri",,2021,19249390,Uncategorized,17/08/2021 23:33,,,
IARC0041 ,Jaimie Branch,Fly Or Die Live,International Anthem Recording Company,"2xLP, Ltd, Bro",,2021,20553568,Uncategorized,13/11/2021 06:11,,,
IARC0066,Jaimie Branch,Fly Or Die Fly Or Die Fly Or Die ((World War)),International Anthem Recording Company,"LP, Album, Ltd, Gre",,2023,28081618,Uncategorized,02/11/2023 09:47,,,
IMRC 0032,Angel Bat Dawid,Transition East,International Anthem Recording Company,"7"", Single, Ltd, Out",,2020,15522128,Uncategorized,10/07/2020 19:27,,,
IMRC0023,Angel Bat Dawid,The Oracle,International Anthem Recording Company,"LP, Album, Ltd, Cry",,2019,14217380,Uncategorized,22/11/2019 18:01,,,
"IARC 0049, DG-252",Irreversible Entanglements,Open The Gates,"International Anthem Recording Company, Don Giovanni Records","2xLP, Album",,2021,20978035,Uncategorized,15/12/2021 13:47,,,
"IARC0014, DG-157",Irreversible Entanglements,Irreversible Entanglements,"International Anthem Recording Company, Don Giovanni Records","LP, Album",,2017,11242590,Uncategorized,03/11/2019 10:51,,,
"IARC0031, DG-202",Irreversible Entanglements,Who Sent You?,"International Anthem Recording Company, Don Giovanni Records","LP, Ltd, Mar",,2020,14846994,Uncategorized,03/03/2020 15:13,,,
"IARC 0011, IARC0011",Jaimie Branch,Fly Or Die,"International Anthem Recording Company, International Anthem Recording Company","LP, Album",,2017,10212529,Uncategorized,04/05/2018 12:29,Mint (M),Mint (M),
"IARC 0027, IARC0027",Jaimie Branch,Fly Or Die II: Bird Dogs Of Paradise,"International Anthem Recording Company, International Anthem Recording Company","LP, Album, Ltd, Psy",,2019,14315348,Uncategorized,22/11/2019 18:01,,,
"IARC 0034, IARC0034",Anteloper,Tour Beats Vol. 1,"International Anthem Recording Company, International Anthem Recording Company","12"", Red",,2020,15988606,Uncategorized,06/11/2020 23:42,,,
INTR 017,aMute,The Sea Horse Limbo,Intr_version Records,"CD, Album",,2006,836964,Uncategorized,01/12/2019 00:26,,,
1793179,Portishead,Magic Doors,Island Records,"12"", S/Sided, Etch",,2008,1570666,Uncategorized,31/10/2019 23:13,,,
981 687-8,Tindersticks,Working For The Man,Island Records,"2xCD, Comp, Ltd, Sli",,2004,580891,Uncategorized,28/11/2019 23:22,,,
981 688-1,Tindersticks,Tindersticks,Island Records,"CD, Album, RE, RM + CD, RM",,2004,1386318,Uncategorized,28/11/2019 23:19,,,
981 688-4,Tindersticks,Tindersticks,Island Records,"2xCD, Album, RE, RM",,2004,1510729,Uncategorized,28/11/2019 23:28,,,
981 689-0,Tindersticks,Nénette Et Boni,Island Records,"CD, Album, RE + CD, Comp, RE + Comp",,2004,2469945,Uncategorized,25/12/2019 12:38,,,
981 689-3,Tindersticks,Simple Pleasure,Island Records,"CD, Album + CD, Comp + RE, RM",,2004,1510739,Uncategorized,28/11/2019 23:18,,,
B0018490-01,Nick Drake,Five Leaves Left,Island Records,"LP, Album, RE, RM, URP",,2013,13942315,Uncategorized,14/02/2020 11:34,,,
"CID 756, 562 307-2",Tindersticks,Can We Start Again?,"Island Records, Island Records","CD, Single, CD1",,1999,1198498,Uncategorized,28/11/2019 23:28,,,
"CID 760, 562 499-2",dEUS,The Ideal Crash,"Island Records, Island Records","CD, EP",,1999,1437252,Uncategorized,07/12/2019 23:16,,,
"CID 8074, 524 588-2",Tindersticks,Donkeys 92 - 97,"Island Records, Island Records","CD, Comp",,1998,6124410,Uncategorized,14/12/2019 17:52,,,
"CIDX756, 562 308-2",Tindersticks,Can We Start Again?,"Island Records, Island Records","CD, Single, CD2",,1999,1648624,Uncategorized,25/12/2019 12:43,,,
9849276,Tindersticks,BBC Sessions,"Island Records, Universal Music Catalogue, BBC","2xCD, Album, Comp",,2007,1152597,Uncategorized,20/12/2019 10:40,,,
"jw10001, Jazzwerkstatt 10001","Peter Brötzmann, Marino Pliakas, Michael Wertmüller : Full Blast (2)",Full Blast,"Jazzwerkstatt, Jazzwerkstatt","LP, Album, RE, Gat",,2013,4771337,Uncategorized,02/11/2019 11:14,,,
TWA39CD,Seaworthy (2),The Ride,Jetset Records,"CD, Album",,2002,2672998,Uncategorized,25/12/2019 12:36,,,
KLCD057,Port-Royal,Dying In Time,Klik Records,"CD, Album, Ltd",,2009,2938670,Uncategorized,20/12/2019 10:48,,,
50999 9 66014 1 9,Kraftwerk,Autobahn,"Kling Klang, Parlophone","LP, Album, Ltd, RE, RM, RP, S/Edition, Blu",,2020,16029375,Uncategorized,12/06/2021 11:06,,,
KOMPAKT CD 50,Klimek,Music To Fall Asleep,Kompakt,"CD, Album",,2006,654207,Uncategorized,12/09/2023 01:27,,,
KOMPAKT CD 69,Various,Pop Ambient 2009,Kompakt,"CD, Comp",,2009,1655668,Uncategorized,12/09/2023 01:07,,,
KOMPAKT CD66,Gas,Nah Und Fern,Kompakt,"CD, Album, RE, RM + CD, Album, RE, RM + CD, Album,",,2008,3678100,Uncategorized,25/12/2019 12:42,,,
KRANK 026,Jessica Bailiff,Even In Silence,Kranky,"CD, Album",,1998,73750,Uncategorized,07/12/2019 22:45,,,
krank 027,Godspeed You Black Emperor!,F♯ A♯ ∞,Kranky,"CD, Album, M/Print, RE, RM",,1998,9550389,Uncategorized,25/12/2019 12:48,,,
KRANK 034,Godspeed You Black Emperor!,Slow Riot For New Zerø Kanada E.P.,Kranky,"CD, EP",,1999,8391236,Uncategorized,07/12/2019 22:38,,,
krank 038,Jessica Bailiff,Hour Of The Trace,Kranky,"CD, Album",,1999,74465,Uncategorized,07/12/2019 22:22,,,
KRANK 097,Jessica Bailiff,Feels Like Home,Kranky,"CD, Album",,2006,735945,Uncategorized,07/12/2019 22:21,,,
KRANK 116,Valet,Naked Acid,Kranky,"CD, Album",,2008,1256732,Uncategorized,28/11/2019 23:31,,,
KRANK 117,Cloudland Canyon,Lie In Light,Kranky,"CD, Album",,2008,1348118,Uncategorized,12/09/2023 01:10,,,
KRANK 125,Windy & Carl,Songs For The Broken Hearted,Kranky,"CD, Album",,2008,1488923,Uncategorized,20/12/2019 10:47,,,
KRANK 177,Grouper,The Man Who Died In His Boat,Kranky,"LP, Album",,2013,4243365,Uncategorized,02/11/2019 11:07,,,
KRANK 211 ,Tim Hecker,Haunt Me Haunt Me Do It Again,Kranky,"2xLP, Album, RE, RM",,2018,12223905,Uncategorized,22/11/2019 16:22,,,
KRANK 212,Tim Hecker,Radio Amor,Kranky,"2xLP, Album, RE, RM",,2018,12223919,Uncategorized,22/11/2019 17:43,,,
krank 233,Grouper,Shade,Kranky,"LP, Album",,2021,20867635,Uncategorized,20/11/2021 03:24,,,
krank024,Windy & Carl,Depths,Kranky,"CD, Album",,1998,73553,Uncategorized,20/12/2019 10:47,,,
krank043,Godspeed You Black Emperor!,Lift Yr. Skinny Fists Like Antennas To Heaven!,Kranky,"2xCD, Album",,2000,4059440,Uncategorized,25/12/2019 12:35,,,
KRANK072,The Dead Texan,The Dead Texan,Kranky,"CD, Album + DVD-V",,2004,321857,Uncategorized,12/09/2023 01:20,,,
krank077,Various,Kompilation,Kranky,"2xCD, Comp",,2004,339481,Uncategorized,07/12/2019 23:22,,,
krank102,Tim Hecker,Harmony In Ultraviolet,Kranky,"CD, Album, Car",,2006,757715,Uncategorized,01/12/2019 00:11,,,
krank128,Pan•American,White Bird Release,Kranky,"CD, Album",,2009,1654938,Uncategorized,01/12/2019 00:21,,,
krank130,Tim Hecker,An Imaginary Country,Kranky,"CD, Album",,2009,1680465,Uncategorized,01/12/2019 00:10,,,
krank154,Tim Hecker,"Ravedeath, 1972",Kranky,"2xLP, Album",,2011,2744777,Uncategorized,22/11/2019 17:47,,,
krank161,Tim Hecker,Dropped Pianos,Kranky,"LP, EP",,2011,3267920,Uncategorized,22/11/2019 17:42,,,
KRANK213,Dedekind Cut,Tahoe,Kranky,"2xLP, Album",,2018,11642339,Uncategorized,02/11/2019 11:22,,,
krank217,Grouper,Grid Of Points,Kranky,"LP, Album",,2018,11896932,Uncategorized,22/11/2019 17:48,,,
KRANK226,Windy & Carl,Allegiance And Conviction,Kranky,"LP, Album",,2020,15009001,Uncategorized,12/05/2020 10:54,,,
"krank 065, krank065",Pan•American,Quiet City,"Kranky, Kranky","CD, Album + DVD-V",,2004,290642,Uncategorized,01/12/2019 00:21,,,
"KRANK100, krank 100",Stars Of The Lid,Stars Of The Lid And Their Refinement Of The Decline,"Kranky, Kranky","2xCD, Album",,2007,940176,Uncategorized,01/12/2019 00:30,,,
"KRANK 219, SUNBLIND 10",Tim Hecker,Konoyo,"Kranky, Sunblind Music","2xLP, Album",,2018,12567577,Uncategorized,23/11/2019 15:51,,,
"KRANK220, SUNBLIND11",Tim Hecker,Anoyo,"Kranky, Sunblind Music","LP, Album",,2019,13614944,Uncategorized,23/11/2019 15:51,,,
krank239,Tim Hecker,No Highs,"Kranky, Sunblind Music","2xLP, Album",,2023,27484458,Uncategorized,17/07/2023 03:32,,,
"KRANK189, GR-014",Grouper,Ruins,"Kranky, Yellow Electric","LP, Album",,2014,6236445,Uncategorized,02/11/2019 11:10,,,
"KRANK223, GR-006A",Grouper,A I A : Dream Loss,"Kranky, Yellow Electric","LP, Album, RE",,2019,14309131,Uncategorized,22/11/2019 17:49,,,
"KRANK224, GR-006B",Grouper,A I A : Alien Observer,"Kranky, Yellow Electric","LP, Album, RE",,2019,14309096,Uncategorized,22/11/2019 17:48,,,
