Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
LSINV277LP,Tim Hecker,The North Water (Original Score),"Lakeshore Records, Invada Records UK","LP, Album, 180",,2022,21834514,Uncategorized,28/01/2022 10:31,,,
LAMP003,Jasper TX,I'll Be Long Gone Before My Light Reaches You,Lampse,"CD, Album",,2005,546668,Uncategorized,25/12/2019 12:48,,,
BBCLJ30022,Max Richter,Memoryhouse,Late Junction,"CD, Album",,2002,9098605,Uncategorized,12/09/2023 00:54,,,
LMIVLP,Sarah Davachi,Antiphonals,Late Music,"LP, Album",,2021,20179525,Uncategorized,19/09/2021 12:12,,,
LMIVLPX,Sarah Davachi,Antiphonals,Late Music,"LP, Album, Ltd, Sil",,2021,20183413,Uncategorized,10/09/2021 14:00,,,
LP-DISC-24,Sarah Davachi,Selected Works I,Late Music,"LP, Comp",,2023,28097779,Uncategorized,13/09/2023 00:47,,,
LP-DISC-25,Sarah Davachi,Selected Works II,Late Music,"LP, Comp",,2023,28097899,Uncategorized,13/09/2023 00:47,,,
none,Sarah Davachi,"Cantus, Descant",Late Music,"17xFile, WAV, Album",,2020,15927076,Uncategorized,18/09/2020 11:36,,,
"Late Music V, LMVLP",Sarah Davachi,Two Sisters,"Late Music, Late Music","2xLP, Album, Ltd, Gre",,2022,24443402,Uncategorized,27/09/2022 04:38,,,
"LMICDX, Late Music I, Late Music II, Late Music II",Sarah Davachi,"Cantus, Descant / Figures In Open Air / Laurus","Late Music, Late Music, Late Music, Late Music","5xCD, Album, RE + Box, Comp",,2021,19343128,Uncategorized,05/09/2021 14:10,,,
BAY 121V,Murcof,The Alias Sessions,Leaf,"3x12"", Album, P/Mixed",,2021,18821071,Uncategorized,24/08/2021 17:58,,,
BAY 23VXX,Murcof,Martes + Utopía,Leaf,"3xLP, Comp, RE",,2022,25447978,Uncategorized,06/02/2023 23:15,,,
BAY 31 CD,Colleen,Everyone Alive Wants Answers,Leaf,"CD, Album",,2003,164709,Uncategorized,20/12/2019 10:50,,,
BAY 40CD,Efterklang,Tripper,Leaf,"CD, Album, Ltd + CDr",,2004,339667,Uncategorized,12/09/2023 01:14,,,
BAY 46CD,Phelan Sheppard,Harps Old Master,Leaf,"CD, Album",,2006,803140,Uncategorized,12/09/2023 00:57,,,
BAY 48CD,Colleen,The Golden Morning Breaks,Leaf,"CD, Album, Enh",,2005,6067319,Uncategorized,14/12/2019 17:54,,,
BAY 53CD,Colleen,Colleen Et Les Boîtes À Musique,Leaf,"CD, MiniAlbum, Enh, Dig",,2006,801107,Uncategorized,20/12/2019 10:49,,,
BAY 56CD,Adrian Klumpes,Be Still,Leaf,"CD, Album",,2006,801693,Uncategorized,28/11/2019 23:22,,,
BAY 57CD,Colleen,Les Ondes Silencieuses,Leaf,"CD, Album",,2007,977413,Uncategorized,20/12/2019 10:42,,,
BAY 58CD,Efterklang,Parades,Leaf,"CD, Album",,2007,1229069,Uncategorized,12/09/2023 01:14,,,
BAY 67CD,Murcof,The Versailles Sessions,Leaf,"CD, Album",,2008,1531758,Uncategorized,25/11/2019 00:09,,,
DOCK 44CD,Efterklang,Springer,Leaf,"CD, EP, RE, RM",,2005,431804,Uncategorized,12/09/2023 01:14,,,
DOCK 46CD,Efterklang,Under Giant Trees,Leaf,"CD, MiniAlbum, Ltd, Num",,2007,928971,Uncategorized,12/09/2023 01:14,,,
BAY13CD,Susumu Yokota,Sakura,"Leaf, Skintone","CD, Album",,2000,9778412,Uncategorized,12/09/2023 01:04,,,
LEJ003,Arbol,Dreams Made Of Paper,Lejos Discos,"CD, Album, Enh",,2005,449266,Uncategorized,12/09/2023 01:08,,,
c-dsa 54076,Sylvain Chauveau,Nocturne Impalpable,Les Disques Du Soleil Et De L'Acier,"CD, Album",,2001,258275,Uncategorized,12/09/2023 01:21,,,
LROCK 02 CDS,Electrelane,Blue Straggler,Let's Rock! Records,"CD, Single",,2001,1609275,Uncategorized,07/12/2019 22:39,,,
lidar_1,Jasper TX,A Darkness,Lidar,"CD, Album",,2007,1761450,Uncategorized,25/12/2019 12:40,,,
ly001 ,Caterina Barbieri (2),Spirit Exit,light-years,"2xLP, Ltd, Sil",,2022,23823704,Uncategorized,13/07/2022 07:25,,,
LINE_027,Richard Chartier + Taylor Deupree,Specification.Fifteen,Line,"CD, Album, Ltd",,2006,720554,Uncategorized,07/12/2019 22:17,,,
Line_030,Evelina Domnitch + Dmitry Gelfand + Various,Camera Lucida,Line,"DVD-V, Comp, Ltd, PAL",,2007,972207,Uncategorized,25/12/2019 13:01,,,
LINE_035,Richard Chartier,Further Materials,Line,"CD, Comp, Ltd, RM",,2008,1320277,Uncategorized,07/12/2019 22:08,,,
"LINE_026, 026",Alva Noto,For,"Line, Line","CD, Album, Ltd",,2006,730913,Uncategorized,01/12/2019 00:17,,,
L 62,Josephine Foster And The Supposed,All The Leaves Are Gone,Locust Music,"CD, Album",,2004,680405,Uncategorized,12/09/2023 01:27,,,
828 130-2,Violent Femmes,3,"London Records, Slash","CD, Album",,1988,1959207,Uncategorized,12/09/2023 01:20,,,
ARFF001CD,The Sick Anchors,The Sick Anchors,Lost Dog Recordings,"CD, EP",,2002,594767,Uncategorized,07/12/2019 22:37,,,
6 80899 0097-1-0,"Floating Points, Pharoah Sanders & The London Symphony Orchestra",Promises,Luaka Bop,"LP, Album, RE, S/Edition, Mar",,2021,21200623,Uncategorized,04/12/2021 07:00,,,
LM082LPC,Eli Keszler,Icons,LuckyMe,"2xLP, Album, Ltd, Cle",,2021,19306201,Uncategorized,02/07/2021 06:02,,,
LUMB017,Cindytalk / Philippe Petit,A Question Of Re-Entry,Lumberton Trading Company,"12"", Ltd",,2011,3259786,Uncategorized,22/11/2019 15:29,,,
LUMCD012,Sketchie,Rain by High Lantern,Lumenessence Recordings,"CD, Album",,2004,322926,Uncategorized,12/09/2023 00:53,,,
mada002-2,Esmerine,Aurora,Madrona Records,"CD, Album",,2005,447610,Uncategorized,25/12/2019 12:52,,,
MNT 49CD,Six By Seven,Ten Places To Die / England & A Broken Radio,"Mantra Recordings, MFS (2)","CD, Single",,1999,1287912,Uncategorized,07/12/2019 23:17,,,
OLE 590-2,Matmos,The Civil War,Matador,"CD, Album, Enh, Dig",,2003,1660749,Uncategorized,24/11/2019 18:47,,,
OLE1788LP,Circuit Des Yeux,#NAME?,Matador,"LP, Album",,2021,20685346,Uncategorized,17/12/2021 10:58,,,
"B0000272-52, 946.0102.122 ",Sigur Rós,Untitled #1 (Vaka),"MCA Records, FatCat Records, [PIAS] Recordings, MCA Records, FatCat Records, [PIAS] Recordings","CD, Mini, Bla",,2003,2836618,Uncategorized,07/12/2019 22:51,,,
Mego 054V,"Fennesz, Jim O'Rourke, Peter Rehberg",The Return Of Fenn O'Berg,Mego,"LP, Album",,2002,69692,Uncategorized,22/11/2019 17:47,,,
MRG 255,Arcade Fire,Funeral,Merge Records,"CD, Album, RE",,0,8184880,Uncategorized,07/12/2019 22:50,,,
MIACD003,Greg Haines,Slumber Tides,Miasmah,"CD, Album",,2006,809393,Uncategorized,07/12/2019 23:06,,,
MIACD004,Rafael Anton Irisarri,Daydreaming,Miasmah,"CD, Album",,2007,777884,Uncategorized,25/12/2019 12:49,,,
MIACD007,Jacaszek,Treny,Miasmah,"CD, Album",,2008,1288927,Uncategorized,25/12/2019 12:48,,,
MIACD009,Elegi,Varde,Miasmah,"CD, Album",,2009,1616975,Uncategorized,20/12/2019 10:44,,,
MIACD011,Simon Scott,Navigare,Miasmah,"CD, Album",,2009,1928792,Uncategorized,01/12/2019 00:30,,,
"MIACD008, miacd008",Jasper TX,Black Sleep,"Miasmah, Miasmah","CD, Album",,2008,1382371,Uncategorized,25/12/2019 12:40,,,
MCOSM1017,Ezekiel Honig,Scattered Practices,Microcosm Music,"CD, Album",,2006,885699,Uncategorized,01/12/2019 00:13,,,
MIE #045,Áine O'Dwyer,Gallarais,MIE Music,"LP, Album",,2017,10848810,Uncategorized,22/11/2019 23:00,,,
mode 123,John Cage,The Piano Works 5,Mode,"CD, Album",,2003,1271883,Uncategorized,07/12/2019 22:31,,,
mode 3/6,John Cage,Atlas Eclipticalis With Winter Music,Mode,"3xCD, Album, RE, RM",,2007,1634813,Uncategorized,07/12/2019 22:12,,,
LOVE105CD,Demdike Stare,Wonderland,Modern Love,"CD, Album",,2016,10059556,Uncategorized,07/12/2019 23:03,,,
monika 53,Milenasong,Seven Sisters,Monika Enterprise,"CD, Album",,2007,854036,Uncategorized,12/09/2023 01:16,,,
59,Tied & Tickled Trio,A.R.C.,Morr Music,"DVD-V, PAL + CD + Dig",,2006,16024038,Uncategorized,12/09/2023 01:18,,,
MM053CD,F.S. Blumm,Zweite Meer,Morr Music,"CD, Album, Dig",,2005,409074,Uncategorized,12/09/2023 01:13,,,
none,Colleen,Mort Aux Vaches,Mort Aux Vaches,"CD, Ltd, Num",,2006,628283,Uncategorized,20/12/2019 10:42,,,
MFR079,Fani Konstantinidou,Winter Trilogy / The Big Fall,Moving Furniture Records,"CD, Album, Ltd",,2020,14476968,Uncategorized,27/04/2020 08:23,,,
MFR092,Various,44 x 44 - Orphax Reworked,Moving Furniture Records,"4xCD + Box, Ltd",,2021,19696195,Uncategorized,13/02/2023 10:11,,,
"CHICK017LP, none",Mama Luma,Splendid,"Music Chicken, Wax Records (6), S7","LP, Album, Ltd, Num",,2014,5737141,Uncategorized,25/11/2019 12:34,,,
MOVLP926,BBC Radiophonic Workshop,The Radiophonic Workshop,Music On Vinyl,"LP, Album, RE, 180",,2013,5139216,Uncategorized,31/10/2019 22:38,,,
CDStumm150,Moby,Animal Rights,Mute,"CD, Album",,1996,3716126,Uncategorized,07/12/2019 22:23,,,
CDSTUMM201,Einstürzende Neubauten,Strategies Against Architecture III (1991-2001),Mute,"2xCD, Comp",,2001,378240,Uncategorized,01/04/2023 16:17,,,
LCDMUTEL4,Nick Cave & The Bad Seeds,The Best Of,Mute,"CD, Comp",,1998,9465698,Uncategorized,07/12/2019 22:34,,,
"CDMUTEL11, 0724357861205",Nick Cave & The Bad Seeds,B-Sides & Rarities,"Mute, Mute","3xCD, Comp + Box",,2005,429074,Uncategorized,08/12/2019 15:37,,,
"LCDStumm164, CDstumm164",Nick Cave & The Bad Seeds,No More Shall We Part,"Mute, Mute, Sum Records (2)","2xCD, Album, Ltd",,2001,7951414,Uncategorized,02/08/2020 17:35,,,
CATMD143,SubtractiveLAD,No Man's Land,n5MD,"CD, Album",,2007,888863,Uncategorized,12/09/2023 01:05,,,
CATMD151,Last Days,These Places Are Now Ruins,n5MD,"CD, Album",,2007,1102401,Uncategorized,14/12/2019 17:53,,,
NV 38111,Perry Blake,Broken Statues,Naïve,"CD, Album",,2001,1773827,Uncategorized,07/12/2019 22:04,,,
NV3261-1,Perry Blake,Still Life,Naïve,"CD, Album",,1999,532005,Uncategorized,07/12/2019 22:36,,,
NKD01,Mark Fell & Will Guthrie,Infoldings,NAKID,"LP, Album, Ltd, Cle",,2020,16273520,Uncategorized,03/01/2021 13:20,,,
NKD02,Mark Fell & Will Guthrie,Diffractions,NAKID,"LP, Album, Ltd, Cle",,2020,16342917,Uncategorized,03/01/2021 13:20,,,
"nar 008cd, nar008cd",Lincoln (6),Barcelona,"Narwhal Recordings, Narwhal Recordings","CD, MiniAlbum",,2000,1431856,Uncategorized,02/08/2020 17:35,,,
NA 022 CD,Pauline Oliveros / Stuart Dempster / Panaiotis,Deep Listening,New Albion,"CD, Album",,1989,10143681,Uncategorized,25/12/2019 12:38,,,
NA 109 CD,Threnody Ensemble,Timbre Hollow,New Albion,"CD, Album",,2000,919999,Uncategorized,12/09/2023 00:56,,,
"Nimbus 1147, NS 1147",Horace Tapscott Sextet,Dial 'B' For Barbra,"Nimbus West Records, Nimbus West Records","2xLP, Album, Ltd, RE, RM, 180",,2021,18850477,Uncategorized,19/06/2022 04:55,,,
ZEN CD78,The Cinematic Orchestra,Man With A Movie Camera,Ninja Tune,"CD, Album",,2003,148829,Uncategorized,12/09/2023 01:12,,,
ZENCD114,Skalpel,Konfusion,Ninja Tune,"CD, Album + CD, Comp + MPO",,0,531295,Uncategorized,12/09/2023 01:29,,,
ZENCD96,Rainstick Orchestra,The Floating Glass Key In The Sky,Ninja Tune,"CD, Album",,2004,343409,Uncategorized,12/09/2023 01:28,,,
"ZENCD 121 X, ZENDV 121 X",Amon Tobin,Foley Room,"Ninja Tune, Ninja Tune","CD, Album, Ltd, Gat + DVD-V, PAL",,2007,918558,Uncategorized,12/09/2023 01:09,,,
"ZENCD 87, ZENCD87",Skalpel,Skalpel,"Ninja Tune, Ninja Tune","CD, Album, Enh",,2004,243405,Uncategorized,12/09/2023 01:28,,,
NOQ073-1,Luke Stewart & Jarvis Earnshaw Quartet,Luke Stewart & Jarvis Earnshaw Quartet,No Quarter,LP,,2021,20510095,Uncategorized,01/02/2022 10:53,,,
NBLP121,Jones Jones - Larry Ochs / Mark Dresser / Vladimir Tarasov,A Jones In Time Saves Nine,NoBusiness Records,"LP, Album, Ltd",,2018,13292454,Uncategorized,23/11/2019 18:57,,,
564164-1,Laurie Anderson & Kronos Quartet,Landfall,Nonesuch,"2xLP, Album",,2018,11562717,Uncategorized,03/11/2019 10:59,,,
NON27,The Embassadors,Coptic Dub,Nonplace,"CD, Album, Dig",,2009,2072057,Uncategorized,24/11/2019 18:47,,,
NNF029,Las Vegas Club,Whiskey Flats,Not Not Fun Records,"CDr, Album",,2005,2673731,Uncategorized,25/12/2019 13:09,,,
amina1,Amiina,AnimaminA,Not On Label (Amiina Self-released),"CD, EP",,2005,1467309,Uncategorized,07/12/2019 23:04,,,
AFCD001,Arcade Fire,Arcade Fire,Not On Label (Arcade Fire Self-released),"CD, EP",,2003,415633,Uncategorized,07/12/2019 22:25,,,
SM7993,Blow Up Hollywood,Fake,Not On Label (Blow Up Hollywood Self-released),"CD, Album",,2004,5129431,Uncategorized,07/12/2019 22:33,,,
001 Magaletti Sakini,Valentina Magaletti & Laila Sakini,Cupo,Not On Label (Valentina Magaletti Self-Released),"LP, Album, Ltd, Cle",,2023,26289104,Uncategorized,30/03/2023 11:16,,,
N-043,Mika Vainio + Ryoji Ikeda + Alva Noto,Live 2002,Noton,"LP, Ltd, Num, Whi",,2018,11474152,Uncategorized,22/11/2019 23:21,,,
N-044,Alva Noto + Ryuichi Sakamoto,Glass,Noton,"LP, Album, Cle",,2018,11567322,Uncategorized,23/11/2019 18:56,,,
N-056,Alva Noto,HYbr:ID I,Noton,"CD, Album",,2021,20959651,Uncategorized,19/11/2021 15:12,,,
N-058,Alva Noto,Kinder Der Sonne,Noton,"2xLP, Album",,2023,26972957,Uncategorized,13/09/2023 00:47,,,
OG 532,Blue Notes,Blue Notes For Johnny,Ogun,LP,,1987,594507,Uncategorized,21/07/2022 00:24,,,
OECD 089,Troum & All Sides,Shutûn,Old Europa Cafe,"CD, Album",,2006,858460,Uncategorized,07/12/2019 23:20,,,
TPLP359CD,Björk,Greatest Hits,One Little Indian,"CD, Comp, Gat",,2002,75474,Uncategorized,07/12/2019 22:27,,,
DVD 4,Various,Onedotzero_select dvd 4,Onedotzero,DVD-V,,2005,4874011,Uncategorized,25/12/2019 13:03,,,
"4801356, 00602448013569",Brian Eno,Foreverandevernomore,"Opal Records, UMC","LP, Album, 180",,2022,24817874,Uncategorized,06/02/2023 23:16,,,
"ORGM-2120, FLP40122",The Art Ensemble Of Chicago,Tutankhamun,"ORG Music, Freedom","LP, Album, RE, RM",,2019,13298153,Uncategorized,23/11/2019 15:46,,,
ROKU025,"Black Top (2) Presents: Hamid Drake, Elaine Mitchener, William Parker, Orphy Robinson, Pat Thomas",Some Good News,Otoroku,"2xCD, Album",,2021,17702398,Uncategorized,17/03/2022 13:56,,,
ROKURE005,Blue Notes,Blue Notes For Mongezi,Otoroku,"2xLP, Album, Ltd, RE",,2022,24012134,Uncategorized,12/08/2022 15:21,,,
OTR-007 ,Horace Tapscott With  The Pan-Afrikan Peoples Arkestra,Live At I.U.C.C.,Outernational Sounds,"3xLP, RE, 180",,2019,13406355,Uncategorized,27/12/2020 11:09,,,
OTR-009 ,Horace Tapscott Conducting The Pan-Afrikan Peoples Arkestra,The Call,Outernational Sounds,"LP, Album, P/Unofficial, RE",,2019,13406763,Uncategorized,23/04/2022 10:06,,,
PAL-053,Chris Corsano & Bill Orcutt,Brace Up!,Palilalia Records,"LP, Album",,2018,12724732,Uncategorized,23/11/2019 21:12,,,
PAN 32,Eli Keszler,Catching Net,Pan (3),"2xCD, Album, Promo",,2012,7166340,Uncategorized,28/11/2019 23:26,,,
PAN 87,Puce Mary,The Drought,Pan (3),"LP, Album",,2019,13606414,Uncategorized,23/11/2019 21:18,,,
PAN106,Beatrice Dillon,Workaround,Pan (3),"LP, Ltd, RP, Whi",,2020,16989942,Uncategorized,27/01/2021 07:01,,,
"PAN 53. CD 2015, PAN 53",Oren Ambarchi,Live Knots,"Pan (3), Pan (3)","CD, Album",,2015,6677689,Uncategorized,01/12/2019 00:24,,,
pac 101,Songs: Ohia,Mi Sei Apparso Come Un Fantasma,Paper Cup,"CD, Album",,2001,672948,Uncategorized,12/09/2023 01:01,,,
5.09996E+12,Jónsi,Go,Parlophone,"CD, Album, Exp + DVD, NTSC",,2010,2244929,Uncategorized,07/12/2019 22:54,,,
7243 532767 2 0,Radiohead,Amnesiac,Parlophone,"CD, Album, Ltd, Boo",,2001,835328,Uncategorized,25/12/2019 13:06,,,
7243 8 29626 2 5,Radiohead,The Bends,Parlophone,"CD, Album",,1995,866247,Uncategorized,07/12/2019 22:27,,,
7243 8 55229 2 5,Radiohead,OK Computer,Parlophone,"CD, Album",,1997,492632,Uncategorized,07/12/2019 23:06,,,
P735 5059,Sigur Rós,Valtari Film Experiment,"Parlophone, Krúnk","DVD-V, NTSC, Dig",,2013,4384896,Uncategorized,01/12/2019 00:29,,,
"7243 4 96014 2 0, 496014 2",Sparklehorse,Good Morning Spider,"Parlophone, Parlophone","CD, Album, Dig",,1998,7592284,Uncategorized,07/12/2019 22:34,,,
"7243 5 36616 2 5, CDFHEIT 45104",Radiohead,I Might Be Wrong - Live Recordings,"Parlophone, Parlophone","CD, EP",,2001,6766451,Uncategorized,07/12/2019 22:34,,,
"7243 5 40504 2 8, 540 5042",Coldplay,A Rush Of Blood To The Head,"Parlophone, Parlophone","CD, Album",,2002,5022555,Uncategorized,07/12/2019 23:17,,,
"CDRS 6394, 7243 8 81737 2 8",Radiohead,My Iron Lung E.P.,"Parlophone, Parlophone","CD, EP, CD1",,1994,233600,Uncategorized,07/12/2019 23:21,,,
PP26,Áine O'Dwyer,Gegenschein,Penultimate Press,"LP, Album, RE",,2017,9833644,Uncategorized,22/11/2019 23:01,,,
PP27,Áine O'Dwyer,Locusts,Penultimate Press,"LP, Album, RE",,2017,9833630,Uncategorized,22/11/2019 23:01,,,
"PHLP12, MUT9935-1",DA-AC,Illusion Of Time,"Phantasy Sound, Mute","LP, Album, Ltd, Mag",,2020,14979532,Uncategorized,16/05/2020 21:38,,,
ZIQ091CD,Julian Fane,Special Forces,Planet Mu,"CD, Album",,2004,299876,Uncategorized,12/09/2023 01:19,,,
PRLP2,Drøne,Reversing Into The Future,Pomperipossa Records,"LP, Album, Ltd",,2016,8260451,Uncategorized,22/11/2019 23:03,,,
SPGRM 004,Kali Malone,Living Torch,Portraits GRM,"LP, Album, RP",,2023,26311679,Uncategorized,25/03/2023 11:07,,,
PRE034,Greg Haines,Digressions,Preservation,"CD, Album",,2012,3443287,Uncategorized,07/12/2019 23:15,,,
PRIK060,Daemonia Nymphe,Daemonia Nymphe,Prikosnovénie,"CD, Album",,2002,197822,Uncategorized,12/09/2023 01:07,,,
none,Milan Knížák,Broken Music (Details),Primary Information,"Flexi, 7"", S/Sided, RE",,2018,12705580,Uncategorized,02/06/2021 11:46,,,
PSS001,Jasper TX,In A Cool Monsoon,Pumpkin Seeds In The Sand,"CD, Album",,2007,1131821,Uncategorized,25/12/2019 12:39,,,
QS75CD,Rachel's,Systems/Layers,Quarterstick Records,"CD, Album",,2003,13927017,Uncategorized,12/09/2023 00:56,,,
"Qs35cd, QS35CD",Rachel's,Music For Egon Schiele,"Quarterstick Records, Quarterstick Records","CD, Album",,1996,497900,Uncategorized,12/09/2023 00:54,,,
"Qs55 PROMO CD, Qs55 CD",Rachel's,Selenography,"Quarterstick Records, Quarterstick Records","CD, Album, Promo",,1999,1677736,Uncategorized,12/09/2023 01:23,,,
R-N 103,Alva Noto,Xerrox Vol.2,Raster-Noton,"CD, Album",,2009,1610507,Uncategorized,25/12/2019 12:56,,,
r-n 121,ANBB,Mimikry,Raster-Noton,"CD, Album",,2010,2456089,Uncategorized,01/12/2019 00:16,,,
r-n 50,Alva Noto + Ryuichi Sakamoto,Vrioon,Raster-Noton,"CD, Album",,2002,83299,Uncategorized,01/12/2019 00:17,,,
R-N 65,Alva Noto + Ryuichi Sakamoto,Insen,Raster-Noton,"CD, Album, RP",,2010,3039112,Uncategorized,01/12/2019 00:18,,,
r-n 72,Alva Noto + Ryuichi Sakamoto,revep,Raster-Noton,"CD, EP",,2006,684261,Uncategorized,01/12/2019 00:18,,,
R-N 76,Alva Noto + Ryuichi Sakamoto,Insen Live,Raster-Noton,"DVD-V, NTSC",,2006,834270,Uncategorized,08/12/2019 15:40,,,
R-N 78,Alva Noto,Xerrox Vol.1,Raster-Noton,"CD, Album",,2007,923875,Uncategorized,25/12/2019 12:56,,,
R-N 91,CoH Plays Cosey Fanni Tutti,CoH Plays Cosey,Raster-Noton,"CD, Album",,2008,1293951,Uncategorized,14/12/2019 17:56,,,
r-n 96,Alva Noto + Ryuichi Sakamoto With Ensemble Modern,utp_,Raster-Noton,"DVD, Multichannel, NTSC + CD",,2009,1750447,Uncategorized,23/11/2019 20:24,,,
"R-N 85, r-n 85",CoH,Strings,"Raster-Noton, Raster-Noton","2xCD, Album",,2007,1087612,Uncategorized,25/12/2019 12:57,,,
"R-N 092, RN92, r-n 92",Byetone,Death Of A Typographer,"Raster-Noton, Raster-Noton, Raster-Noton","CD, Album",,2008,1366230,Uncategorized,07/12/2019 22:54,,,
R8,Ian William Craig,A Turn Of Breath,Recital (2),"2xLP, Album, Ltd, Ext",,2018,12220372,Uncategorized,23/11/2019 21:18,,,
Recital Forty Five,Sarah Davachi,Let Night Come On Bells End The Day,Recital (2),"LP, Album, Ltd, RP",,2019,14385238,Uncategorized,22/11/2019 18:08,,,
Recital Seventy,Daniel W. Schmidt And The Berkeley Gamelan Ensemble,Abies Firma,Recital (2),"LP, Album, Ltd + CD, Album, Ltd",,2019,14374553,Uncategorized,22/11/2019 14:04,,,
REC-27,Sébastien Tellier,Sessions,Record Makers,"CD, Album, Dig",,2006,639747,Uncategorized,12/09/2023 00:57,,,
"RSQ011, hush 006",Gravenhurst,Internal Travels,"Red Square, Silent Age","CD, Album, RE",,2002,934894,Uncategorized,12/09/2023 01:29,,,
RER NECKS 12,The Necks,Vertigo,ReR Megacorp,"LP, Album",,2015,7725457,Uncategorized,23/11/2019 18:31,,,
RER NECKS 13,The Necks,Body,ReR Megacorp,"CD, Album",,2018,12383744,Uncategorized,28/11/2019 23:24,,,
RER NECKS 14,The Necks,Three,ReR Megacorp,"CD, Album",,2020,14985529,Uncategorized,27/04/2020 13:32,,,
ReR Necks 8,The Necks,Townsville,ReR Megacorp,"CD, Album",,2007,1223174,Uncategorized,24/11/2019 15:38,,,
ReR NECKS V10,The Necks,Mindset,ReR Megacorp,"LP, Album",,2011,3184577,Uncategorized,23/11/2019 18:55,,,
RESCD012,Port-Royal,Flares,Resonant,"CD, Album",,2005,479154,Uncategorized,01/12/2019 00:27,,,
RESCD013,Blindfold (2),Blindfold,Resonant,"CD, Album",,2005,479148,Uncategorized,07/12/2019 22:56,,,
RESCD014,ÖLVIS,The Blue Sound,Resonant,"CD, Album",,2005,507380,Uncategorized,07/12/2019 23:19,,,
74321670302,Spain,She Haunts My Dreams,Restless Records,"CD, Album",,1999,406876,Uncategorized,23/11/2019 20:22,,,
rwr-1,Various,Remotely Together,Rewire,LP,,2023,26713280,Uncategorized,01/08/2023 14:41,,,
"081227945190, 1451",John Coltrane & Don Cherry,The Avant-Garde,"Rhino Records (2), Atlantic","LP, Mono, RE, 180",,2017,10580547,Uncategorized,26/06/2021 03:43,,,
ROCKACT80CD,Mogwai,Rave Tapes,Rock Action Records,"CD, Album, Dig",,2014,5299855,Uncategorized,01/12/2019 00:35,,,
EDRM414,Tim Hecker,Norberg,Room40,"Minimax, EP",,2007,1129861,Uncategorized,01/12/2019 00:10,,,
EDRM417,Various,Airport Symphony,Room40,"2xCD, Comp",,2007,1106042,Uncategorized,25/12/2019 12:55,,,
RM403,Ben Frost,Steel Wound,Room40,"CD, Album",,2003,198404,Uncategorized,01/12/2019 00:34,,,
RM408,M. Rösner,Alluvial,Room40,"CD, Album",,2005,527558,Uncategorized,07/12/2019 22:24,,,
RM4107,John Chantler,Tomorrow Is Too Late,Room40,LP,,2019,14278356,Uncategorized,08/12/2019 14:54,,,
RM415,Tenniscoats,Totemo Aimasho = とてもあいましょう,Room40,"CD, Album",,2007,1377041,Uncategorized,20/12/2019 10:45,,,
RM416,Greg Davis & Jeph Jerman,Ku,Room40,CD,,2006,982043,Uncategorized,25/11/2019 00:15,,,
RM417,ERIKM ( Luc Ferrari ) & Thomas Lehn,Les Protorhythmiques,Room40,"CD, Album",,2007,1093318,Uncategorized,25/12/2019 12:53,,,
RM419,Janek Schaefer,In The Last Hour,Room40,"CD, Album",,2006,799855,Uncategorized,01/12/2019 00:31,,,
RM422,Ralph Steinbrüchel,Basis,Room40,"CD, Album",,2007,1105996,Uncategorized,01/12/2019 00:29,,,
RM425,Tomasz Bednarczyk,Painting Sky Together,Room40,"CD, Album",,2009,1548641,Uncategorized,07/12/2019 22:43,,,
RM430,Marina Rosenfeld,Plastic Materials,Room40,"CD, Album",,2009,1963018,Uncategorized,01/12/2019 00:27,,,
RM432,Chihei Hatakeyama,Saunter,Room40,"CD, Album",,2009,1767807,Uncategorized,01/12/2019 00:09,,,
RM435,"Tujiko Noriko, Lawrence English & John Chantler",U,Room40,CD,,2008,1500328,Uncategorized,01/12/2019 00:19,,,
RM436,Tenniscoats,Temporacha,Room40,"CD, Album, Ltd",,2009,1677900,Uncategorized,20/12/2019 10:46,,,
RM437,Chris Abrahams,Play Scar,Room40,"CD, Album",,2010,2339182,Uncategorized,25/12/2019 12:50,,,
RM463,John Chantler,Which Way To Leave?,Room40,"LP, Album, Ltd, Cle",,2016,8903971,Uncategorized,22/11/2019 15:25,,,
